MainID,CrossStreetMainID,Street,from,to,District,StartTime,EndTime,Side,Miles,oneway,week1,week2,week3,week4,week5,EveryDay,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Yearround,start_lat,start_long,stop_lat,stop_long
1389,2955,Hull St,Snow Hill St,Commercial St,1N,12:00:00.0000000,16:00:00.0000000,Odd,0.0665,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,42.36708,-71.05649,42.36776,-71.0574
1390,2954,Hull St,Salem St,Snow Hill St,1N,12:00:00.0000000,16:00:00.0000000,Even,0.1013,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,42.36642,-71.0547,42.36708,-71.05649
1391,1879,Lee Hill Rd,Washington St,Dead End,2,08:00:00.0000000,12:00:00.0000000,Odd,0.0564,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,42.28848,-71.12598,42.28874,-71.1264
1392,2956,Hull St,Salem St,Snow Hill St,1N,12:00:00.0000000,16:00:00.0000000,Odd,0.1013,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,42.36642,-71.0547,42.36708,-71.05649
1393,2953,Hull St,Snow Hill St,Commercial St,1N,12:00:00.0000000,16:00:00.0000000,Even,0.0665,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,42.36708,-71.05649,42.36776,-71.0574
1394,676,Lime St,River St,Brimmer St,1H,08:00:00.0000000,12:00:00.0000000,Odd,0.0703,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,42.35737,-71.07055,42.35707,-71.07185
1395,453,Humboldt Ave,Walnut Ave,Seaver St,10R,08:00:00.0000000,12:00:00.0000000,Odd,0.8222,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,42.3206,-71.08603,42.30984,-71.09219
1396,1556,Hunter St,Bunker Hill St,Vine St,1C,08:00:00.0000000,12:00:00.0000000,Even,0.0407,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,42.37631,-71.05666,42.37675,-71.05611
1397,2040,Linwood Sq,Linwood St,Highland Ave,10R,08:00:00.0000000,12:00:00.0000000,Odd,0.1098,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,42.32814,-71.09387,None,None
1398,1264,Linden St,Freeport St,Dorchester Ave,3,08:00:00.0000000,12:00:00.0000000,Even,0.0606,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,42.30594,-71.0576,42.30601,-71.05879
1399,1838,Linden St,Cambridge St,Brighton Av,4,08:00:00.0000000,12:00:00.0000000,Odd,0.2409,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,42.35619,-71.13141,42.35279,-71.13018
1400,523,Howe St,Hancock St,Howe Ter,3,08:00:00.0000000,12:00:00.0000000,Even,0.1256,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,42.31196,-71.06354,42.3107,-71.06531
1401,931,Hunter St,Bunker Hill St,Vine St,1C,08:00:00.0000000,12:00:00.0000000,Odd,0.0407,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,42.37631,-71.05666,42.37675,-71.05611
1402,2811,Huntington Ave,Dartmouth St,Huntington Ave Underpass,10M,00:01:00.0000000,07:00:00.0000000,Ramp,0.7532,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,42.34925,-71.07693,None,None
1403,2578,Huntington Ave,Massachusetts Ave,South Huntington Ave,M,00:01:00.0000000,07:00:00.0000000,Even,1.6040,True,True,True,True,True,True,False,False,False,False,True,False,False,False,True,42.34271,-71.08484,40.82707,-73.41296
1404,2602,Huntington Ave,Massachusetts Ave,South Huntington Ave,M,00:01:00.0000000,07:00:00.0000000,Odd,1.6040,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,42.34271,-71.08484,40.82707,-73.41296
1405,246,Hutchings St,Elm Hill Ave,Harold St,10R,08:00:00.0000000,12:00:00.0000000,Even,0.3506,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,42.30915,-71.0878,42.31221,-71.09318
1406,129,Leamington Rd,Commonwealth Ave,Wallingford Rd,4,08:00:00.0000000,12:00:00.0000000,Odd,0.1663,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,42.34178,-71.14865,42.34192,-71.15153
1407,1776,Hutchings St,Elm Hill Ave,Harold St,10R,08:00:00.0000000,12:00:00.0000000,Odd,0.3506,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,42.30915,-71.0878,42.31221,-71.09318
1409,2194,Lincoln St,Dorchester Ave,Adams St,7,08:00:00.0000000,12:00:00.0000000,Odd,0.0797,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,42.29978,-71.06031,42.29997,-71.05882
1414,1875,Lindall St,Cummins Hwy,Murray Hill Rd,2,08:00:00.0000000,12:00:00.0000000,Odd,0.1076,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,42.2855,-71.12665,42.28671,-71.12531
1415,773,Linwood St,Highland St,Centre St,10R,08:00:00.0000000,12:00:00.0000000,Odd,0.1472,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,42.3278,-71.09247,42.32867,-71.095
1416,2170,Lithgow St,Washington St,Wainwright St,7,08:00:00.0000000,12:00:00.0000000,Odd,0.2324,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,42.28936,-71.07133,42.29075,-71.06722
1417,924,Laurel St,Cedar St,Monument Sq,1C,12:00:00.0000000,16:00:00.0000000,Odd,0.0267,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,42.37678,-71.06202,42.3766,-71.06151
1418,655,I St,East Broadway,Columbia Rd,5,09:00:00.0000000,13:00:00.0000000,Even,0.3648,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,42.33574,-71.02978,42.33025,-71.03977
1419,1968,I St,East Broadway,Columbia Rd,5,09:00:00.0000000,13:00:00.0000000,Odd,0.3648,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,42.33574,-71.02978,42.33025,-71.03977
1420,1936,Linden St,Brighton Av,Reedsdale St,4,12:00:00.0000000,16:00:00.0000000,Odd,0.1309,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,42.35279,-71.13018,42.35074,-71.12981
1422,1983,Hinckley St,Pleasant St,Bakersfield St,3,12:00:00.0000000,16:00:00.0000000,Odd,0.0826,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,42.31724,-71.05923,42.31753,-71.0608
1423,1622,I St,East First St,East Broadway,5,09:00:00.0000000,13:00:00.0000000,Even,0.1733,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,42.33807,-71.04001,42.33574,-71.02978
1424,2307,I St,East First St,East Broadway,5,09:00:00.0000000,13:00:00.0000000,Odd,0.1733,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,42.33807,-71.04001,42.33574,-71.02978
1425,874,Leicester St,Washington St,Arlington St,4,12:00:00.0000000,16:00:00.0000000,Even,0.2178,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,42.34915,-71.15459,42.35215,-71.15355
1426,837,Leicester St,Washington St,Arlington St,4,12:00:00.0000000,16:00:00.0000000,Odd,0.2178,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,42.34915,-71.15459,42.35215,-71.15355
1427,1883,Leonard St,Adams St,Clayton St,3,12:00:00.0000000,16:00:00.0000000,Odd,0.1856,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,42.30124,-71.05962,42.30223,-71.05634
1428,2518,Idaho St,River St,Manchester St,7,12:00:00.0000000,16:00:00.0000000,Even,0.1701,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,42.27152,-71.07632,42.27395,-71.07675
1429,1144,Idaho St,River St,Manchester St,7,12:00:00.0000000,16:00:00.0000000,Odd,0.1701,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,42.27152,-71.07632,42.27395,-71.07675
1430,500,Leonard St,Adams St,Clayton St,3,12:00:00.0000000,16:00:00.0000000,Even,0.1856,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,42.30124,-71.05962,42.30223,-71.05634
1431,549,Leroy St,Geneva Ave,Ditson St,3,08:00:00.0000000,12:00:00.0000000,Even,0.1458,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,42.3006,-71.0667,42.30127,-71.06404
1432,26,Iffley Rd,Washington St,Walnut Ave,2,12:00:00.0000000,16:00:00.0000000,Even,0.1958,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,42.31301,-71.10098,42.31168,-71.09766
1433,1694,Iffley Rd,Washington St,Walnut Ave,2,12:00:00.0000000,16:00:00.0000000,Odd,0.1958,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,42.31301,-71.10098,42.31168,-71.09766
1434,978,Holyoke St,Columbus Ave,Carleton St,1S,12:00:00.0000000,16:00:00.0000000,Odd,0.0913,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,42.34428,-71.07722,42.34517,-71.07855
1435,1322,Imrie Rd,Cambridge St,High Rock Way,4,08:00:00.0000000,12:00:00.0000000,Even,0.1136,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,42.35301,-71.13901,42.35146,-71.13836
1436,1921,Leroy St,Geneva Ave,Ditson St,3,08:00:00.0000000,12:00:00.0000000,Odd,0.1458,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,42.3006,-71.0667,42.30127,-71.06404
1437,579,Imrie Rd,Cambridge St,High Rock Way,4,08:00:00.0000000,12:00:00.0000000,Odd,0.1136,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,42.35301,-71.13901,42.35146,-71.13836
