MainID,CrossStreetMainID,Street,from,to,District,StartTime,EndTime,Side,Miles,oneway,week1,week2,week3,week4,week5,EveryDay,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Yearround,start_lat,start_long,stop_lat,stop_long
101,2888,Chiswick Rd,Englewood Ave,Chestnut Hill Ave,4,00:00.0,00:00.0,Even,0.4402,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,42.33747,-71.15073,42.3412,-71.15477
102,1028,Bond St,Milford St,Hanson St,1S,00:00.0,00:00.0,Even,0.0417,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,42.3437,-71.06903,42.34328,-71.0696
104,2585,Blue Hill Ave,Morton St,River St,7,01:00.0,00:00.0,Median,1.1542,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,42.28422,-71.09136,42.26764,-71.09385
105,2164,Clementine Park,Centre St,Dayton St,7,00:00.0,00:00.0,Odd,0.0845,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,42.29209,-71.06543,42.2932,-71.06566
106,1137,Cedar St,River St,Temple St,7,00:00.0,00:00.0,Odd,0.1947,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,42.2714,-71.07502,42.1218,-71.26859
107,1701,Durham St,St Botolph St,Dead End,1B,00:00.0,00:00.0,Odd,0.0502,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,42.34427,-71.08154,42.3440299,-71.0812
108,811,Bunker Hill St,Lowney Way,Medford St,1C,00:00.0,00:00.0,Odd,0.9775,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,42.37591,-71.0563,42.38342,-71.07176
109,146,Bowdoin Ave,Eldon St,Nottingham St,3,00:00.0,00:00.0,Odd,0.3093,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,42.30356,-71.07755,42.30031,-71.07345
110,1498,Circuit St,Walnut Ave,Washington St,10R,00:00.0,00:00.0,Even,0.3496,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.32398,-71.08345,42.32569,-71.0879
111,245,Brookledge St,Humboldt Ave,Elm Hill Ave,10R,00:00.0,00:00.0,Even,0.2225,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,42.31055,-71.09156,42.30841,-71.08838
