MainID,CrossStreetMainID,Street,from,to,District,StartTime,EndTime,Side,Miles,oneway,week1,week2,week3,week4,week5,EveryDay,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Yearround
40,409,Anderson St,Cambridge St,Myrtle St,1H,00:00.0,00:00.0,Odd,0.1252,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,2501,Clearwater Dr,Morton St,Maryknoll St,7,00:00.0,00:00.0,Odd,0.2354,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
42,1157,Bluefield Ter,Gladeside Ave,Ridgeview Ave,7,00:00.0,00:00.0,Odd,0.1117,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
43,682,Beaver St,Beacon St,Beaver Pl,1H,00:00.0,00:00.0,Odd,0.0373,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
44,1223,Arlington Ave,Alford St,Somerville Town Line,1C,00:00.0,00:00.0,Even,0.1898,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
45,2625,Bedford St,Chauncy St,Summer St,1T,01:00.0,00:00.0,,0.1432,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
46,1852,Charlame St,Laurel St,Dead End,10R,00:00.0,00:00.0,Odd,0.1182,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47,2790,Belvidere St,Massachusetts Ave,Dalton St,1B,01:00.0,00:00.0,Odd,0.1525,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
48,863,Bennett St,Market St,Oakland St,4,00:00.0,00:00.0,Odd,0.4112,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49,2646,Charles St,Boylston St,Nashua St,M,01:00.0,00:00.0,Odd,1.0884,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
50,1334,Calumet St,Tremont St,Parker Hill Ave,10M,00:00.0,00:00.0,Odd,0.5669,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,2729,Atlantic Ave,State St,Milk St,1F,01:00.0,00:00.0,,0.0604,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
52,2795,Boylston St,Arlington St,Hereford St,1B,01:00.0,00:00.0,Odd,0.7949,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
